Time,"Alabama, All Parties, Votes","Alabama, Democratic, Votes","Alabama, Republican, Votes","Alabama, Other, Votes","Alaska, All Parties, Votes","Alaska, Democratic, Votes","Alaska, Republican, Votes","Alaska, Other, Votes","Arizona, All Parties, Votes","Arizona, Democratic, Votes","Arizona, Republican, Votes","Arizona, Other, Votes","Arkansas, All Parties, Votes","Arkansas, Democratic, Votes","Arkansas, Republican, Votes","Arkansas, Other, Votes","California, All Parties, Votes","California, Democratic, Votes","California, Republican, Votes","California, Other, Votes","Colorado, All Parties, Votes","Colorado, Democratic, Votes","Colorado, Republican, Votes","Colorado, Other, Votes","Connecticut, All Parties, Votes","Connecticut, Democratic, Votes","Connecticut, Republican, Votes","Connecticut, Other, Votes","Delaware, All Parties, Votes","Delaware, Democratic, Votes","Delaware, Republican, Votes","Delaware, Other, Votes","Florida, All Parties, Votes","Florida, Democratic, Votes","Florida, Republican, Votes","Florida, Other, Votes","Georgia, All Parties, Votes","Georgia, Democratic, Votes","Georgia, Republican, Votes","Georgia, Other, Votes","Hawaii, All Parties, Votes","Hawaii, Democratic, Votes","Hawaii, Republican, Votes","Hawaii, Other, Votes","Idaho, All Parties, Votes","Idaho, Democratic, Votes","Idaho, Republican, Votes","Idaho, Other, Votes","Illinois, All Parties, Votes","Illinois, Democratic, Votes","Illinois, Republican, Votes","Illinois, Other, Votes","Indiana, All Parties, Votes","Indiana, Democratic, Votes","Indiana, Republican, Votes","Indiana, Other, Votes","Iowa, All Parties, Votes","Iowa, Democratic, Votes","Iowa, Republican, Votes","Iowa, Other, Votes","Kansas, All Parties, Votes","Kansas, Democratic, Votes","Kansas, Republican, Votes","Kansas, Other, Votes","Kentucky, All Parties, Votes","Kentucky, Democratic, Votes","Kentucky, Republican, Votes","Kentucky, Other, Votes","Louisiana, All Parties, Votes","Louisiana, Democratic, Votes","Louisiana, Republican, Votes","Louisiana, Other, Votes","Maine, All Parties, Votes","Maine, Democratic, Votes","Maine, Republican, Votes","Maine, Other, Votes","Maryland, All Parties, Votes","Maryland, Democratic, Votes","Maryland, Republican, Votes","Maryland, Other, Votes","Massachusetts, All Parties, Votes","Massachusetts, Democratic, Votes","Massachusetts, Republican, Votes","Massachusetts, Other, Votes","Michigan, All Parties, Votes","Michigan, Democratic, Votes","Michigan, Republican, Votes","Michigan, Other, Votes","Minnesota, All Parties, Votes","Minnesota, Democratic, Votes","Minnesota, Republican, Votes","Minnesota, Other, Votes","Mississippi, All Parties, Votes","Mississippi, Democratic, Votes","Mississippi, Republican, Votes","Mississippi, Other, Votes","Missouri, All Parties, Votes","Missouri, Democratic, Votes","Missouri, Republican, Votes","Missouri, Other, Votes","Montana, All Parties, Votes","Montana, Democratic, Votes","Montana, Republican, Votes","Montana, Other, Votes","Nebraska, All Parties, Votes","Nebraska, Democratic, Votes","Nebraska, Republican, Votes","Nebraska, Other, Votes","Nevada, All Parties, Votes","Nevada, Democratic, Votes","Nevada, Republican, Votes","Nevada, Other, Votes","New Hampshire, All Parties, Votes","New Hampshire, Democratic, Votes","New Hampshire, Republican, Votes","New Hampshire, Other, Votes","New Jersey, All Parties, Votes","New Jersey, Democratic, Votes","New Jersey, Republican, Votes","New Jersey, Other, Votes","New Mexico, All Parties, Votes","New Mexico, Democratic, Votes","New Mexico, Republican, Votes","New Mexico, Other, Votes","New York, All Parties, Votes","New York, Democratic, Votes","New York, Republican, Votes","New York, Other, Votes","North Carolina, All Parties, Votes","North Carolina, Democratic, Votes","North Carolina, Republican, Votes","North Carolina, Other, Votes","North Dakota, All Parties, Votes","North Dakota, Democratic, Votes","North Dakota, Republican, Votes","North Dakota, Other, Votes","Ohio, All Parties, Votes","Ohio, Democratic, Votes","Ohio, Republican, Votes","Ohio, Other, Votes","Oklahoma, All Parties, Votes","Oklahoma, Democratic, Votes","Oklahoma, Republican, Votes","Oklahoma, Other, Votes","Oregon, All Parties, Votes","Oregon, Democratic, Votes","Oregon, Republican, Votes","Oregon, Other, Votes","Pennsylvania, All Parties, Votes","Pennsylvania, Democratic, Votes","Pennsylvania, Republican, Votes","Pennsylvania, Other, Votes","Rhode Island, All Parties, Votes","Rhode Island, Democratic, Votes","Rhode Island, Republican, Votes","Rhode Island, Other, Votes","South Carolina, All Parties, Votes","South Carolina, Democratic, Votes","South Carolina, Republican, Votes","South Carolina, Other, Votes","South Dakota, All Parties, Votes","South Dakota, Democratic, Votes","South Dakota, Republican, Votes","South Dakota, Other, Votes","Tennessee, All Parties, Votes","Tennessee, Democratic, Votes","Tennessee, Republican, Votes","Tennessee, Other, Votes","Texas, All Parties, Votes","Texas, Democratic, Votes","Texas, Republican, Votes","Texas, Other, Votes","Utah, All Parties, Votes","Utah, Democratic, Votes","Utah, Republican, Votes","Utah, Other, Votes","Vermont, All Parties, Votes","Vermont, Democratic, Votes","Vermont, Republican, Votes","Vermont, Other, Votes","Virginia, All Parties, Votes","Virginia, Democratic, Votes","Virginia, Republican, Votes","Virginia, Other, Votes","Washington, All Parties, Votes","Washington, Democratic, Votes","Washington, Republican, Votes","Washington, Other, Votes","Washington DC, All Parties, Votes","Washington DC, Democratic, Votes","Washington DC, Republican, Votes","Washington DC, Other, Votes","West Virginia, All Parties, Votes","West Virginia, Democratic, Votes","West Virginia, Republican, Votes","West Virginia, Other, Votes","Wisconsin, All Parties, Votes","Wisconsin, Democratic, Votes","Wisconsin, Republican, Votes","Wisconsin, Other, Votes","Wyoming, All Parties, Votes","Wyoming, Democratic, Votes","Wyoming, Republican, Votes","Wyoming, Other, Votes"
1968,1049909,196579,146923,706407,81161,34853,36597,9711,486936,170514,266721,49701,619969,188228,190759,240982,7251587,3244318,3467664,539605,810251,335174,409345,65732,1256232,621561,556721,77950,214367,89194,96714,28459,2187805,676794,886804,624207,1250264,334438,380111,535715,236218,141324,91425,3469,291183,89273,165369,36541,4619749,2039814,2174774,405161,2123597,806659,1067885,249053,1167931,476699,619106,72126,872783,302996,478674,91113,1055893,397541,462411,195941,1097450,309615,257535,530300,392936,217312,169254,6370,945155,359860,437849,147446,2331752,1469218,766844,95690,3306250,1593082,1370665,342503,1588506,857738,658643,72125,654509,150644,88516,415349,1588588,648434,753680,186474,274404,114117,138835,21452,536851,170784,321163,44904,154218,60598,73188,20432,297299,130589,154903,11807,2875395,1264206,1325467,285722,327281,130081,169692,27508,6790066,3378470,3007932,403664,1587493,464113,627192,496188,247882,94769,138669,14444,3959698,1700586,1791014,468098,943086,301658,449697,191731,819622,358866,408433,52323,4747928,2259405,2090017,398506,385000,246518,122359,16123,666982,197486,254062,215434,281264,118023,149841,13400,1248617,351233,472592,424792,3079216,1266804,1227844,584568,422568,156665,238728,27175,161404,70255,85142,6007,839922,252218,382604,205100,1304281,616037,588510,99734,170578,139566,31012,0,754206,374091,307555,72560,1689196,748804,809997,130395,127205,45173,70927,11105
1972,1006093,256923,728701,20469,95219,32967,55349,6903,653505,198540,402812,52153,647666,198899,445751,3016,8367862,3475847,4602096,289919,953885,329980,597189,26716,1383500,555498,810763,17239,235516,92283,140357,2876,2583283,718117,1857759,7407,1171025,289529,881496,0,270274,101409,168865,0,310379,80826,199384,30169,4723236,1913472,2788179,21585,2125529,708568,1405154,11807,1225944,496206,706207,23531,916095,270287,619812,25996,1067499,371159,676446,19894,1051491,298142,686852,66497,417271,160584,256458,229,1089160,364458,709819,14883,2458756,1332540,1112078,14138,3490325,1459435,1961721,69169,1741652,802346,898269,41037,645963,126782,505125,14056,1658780,577330,1081450,0,317603,120197,183976,13430,576289,169991,406298,0,174250,63896,110354,0,334059,116435,213724,3900,2997229,1102211,1845502,49516,385931,141084,235606,9241,7161830,2951084,4192778,17968,1518612,438705,1054889,25018,280514,100384,174109,6021,4094787,1558889,2441827,94071,1029900,247147,759025,23728,927946,392760,486686,48500,4592106,1796951,2714521,80634,415808,194645,220383,780,677863,189270,478427,10166,307415,139945,166476,994,1201182,357293,813147,30742,3472714,1154291,2298896,19527,478476,126284,323643,28549,186946,68174,117149,1623,889859,251451,621848,16560,1470847,568334,837135,65378,163421,127627,35226,568,762399,277435,484964,0,1851997,810174,989430,52393,145570,44358,100464,748
1976,1182542,659170,504070,19302,123574,44058,71555,7961,742719,295602,418642,28475,769396,499614,268753,1029,7867117,3742284,3882244,242589,1081135,460353,584367,36415,1376046,647895,719261,8890,235834,122596,109831,3407,3150631,1636000,1469531,45100,1463152,979409,483743,0,291301,147375,140003,3923,340932,126549,204151,10232,4718833,2271295,2364269,83269,2220362,1014714,1183958,21690,1279306,619931,632863,26512,957845,430421,502752,24672,1167142,615717,531852,19573,1278439,661365,587446,29628,483208,232279,236320,14609,1171918,581019,590899,0,2547558,1429475,1030276,87807,3653749,1696714,1893742,63293,1949589,1070440,819395,59754,769363,381309,366845,21209,1770075,879684,869076,21315,328734,149259,173703,5772,607668,233692,359705,14271,192115,88605,95991,7519,339618,147635,185935,6048,3014472,1444653,1509688,60131,416590,201148,211419,4023,6534420,3389558,3100791,44071,1677906,927365,741960,8581,297090,136078,153470,7542,4111874,2011621,2000505,99748,1092251,532442,545708,14101,1029876,490407,492120,47349,4620787,2328677,2205604,86506,410584,227636,181249,1699,801913,450825,346140,4948,300678,147068,151505,2105,1476345,825879,633969,16497,4071884,2082319,1953300,36265,541198,182110,337908,21180,187855,81044,102085,4726,1057107,489208,540351,27548,1555534,717323,777732,60479,168830,137818,27873,3139,750674,435914,314760,0,2101336,1040232,1004987,56117,156343,62239,92717,1387
1980,1341929,636730,654192,51007,158445,41842,86112,30491,873945,246843,529688,97414,837582,398041,403164,36377,8585801,3083641,4524858,977302,1184415,367973,652264,164178,1405449,541732,677210,186507,235668,105754,111252,18662,3687026,1419475,2046951,220600,1596583,890733,654168,51682,303228,135857,130085,37286,437431,110192,290699,36540,4749721,1981413,2358049,410259,2242033,844197,1255656,142180,1317661,508672,676026,132963,979795,326150,566812,86833,1294627,616417,635274,42936,1548591,708453,792853,47285,523011,220974,238522,63515,1275721,534250,622704,118767,2524298,1053802,1057631,412865,3909725,1661532,1915225,332968,2051672,954174,873241,224257,892620,429281,441089,22250,1928469,817485,1023848,87136,363952,118032,206814,39106,640854,166851,419937,54066,235329,63897,146628,24804,383931,108864,221705,53362,2975684,1147364,1546557,281763,456237,167826,250779,37632,6201673,2728372,2893831,579470,1855833,875635,915018,65180,301545,79189,193695,28661,4283603,1752414,2206545,324644,1149708,402026,695570,52112,1181516,456890,571044,153582,4561501,1937540,2261872,362089,415967,198342,154793,62832,890105,427559,441206,21340,327703,103855,198343,25505,1617616,783051,787761,46804,4541637,1881147,2510705,149785,604098,124266,439687,40145,213207,81891,94598,36718,1191958,445151,665012,81795,1742394,650193,865244,226957,173889,130231,23313,20345,737715,367462,334206,36047,2271884,981584,1088845,201455,176713,49427,110700,16586
1984,1440950,550899,873067,16984,207605,62007,138377,7221,1025897,333854,681416,10627,895392,338646,534774,21972,9505041,3922519,5467009,115513,1295358,454975,821817,18566,1466674,569597,890877,6200,254572,101656,152190,726,4180051,1448816,2730350,885,1775350,706628,1068722,0,335674,147098,184934,3642,411144,108510,297523,5111,4819088,2086499,2707103,25486,2233069,841481,1377230,14358,1319805,605620,703088,11097,1021991,333149,677296,11546,1370461,539589,822782,8090,1706822,651586,1037299,17937,553144,214515,336500,2129,1391710,585658,799798,6254,2559453,1239606,1310936,8911,3801658,1529638,2251571,20449,2083726,1036364,1032603,14759,941092,352192,582377,6523,1949433,736265,1213168,0,384377,146742,232450,5185,652090,187866,460054,4170,273131,87865,179293,5973,388954,120395,267051,1508,3217862,1261323,1933630,22909,514370,201769,307101,5500,6806810,3119609,3664763,22438,2175361,824287,1346481,4593,308971,104429,200336,4206,4547619,1825440,2678559,43620,1255676,385080,861530,9066,1226527,536479,685700,4348,4844903,2228131,2584323,32449,410489,197106,212080,1303,968540,344470,615539,8531,317867,116113,200267,1487,1711994,711714,990212,10068,5397571,1949276,3433428,14867,629656,155369,469105,5182,234446,95730,135865,2851,1390104,479539,901700,8865,1883910,807352,1051670,24888,211288,180408,29009,1871,735742,328125,405483,2134,2212091,995843,1199585,16663,188968,53370,133241,2357
1988,1377970,549506,815576,12888,200116,72584,119251,8281,1171873,454029,702541,15303,827738,349237,466578,11923,9887064,4702233,5054917,129914,1372255,621453,728177,22625,1443387,676584,750241,16562,249891,108647,139639,1605,4302313,1656701,2618885,26727,1809657,714792,1081331,13534,354461,192364,158625,3472,408968,147272,253881,7815,4559120,2215940,2310939,32241,2168621,860643,1297763,10215,1225614,670557,545355,9702,993044,422636,554049,16359,1322517,580368,734281,7868,1628202,717460,883702,27040,555035,243569,307131,4335,1481991,655491,817078,9422,2632805,1401406,1194644,36755,3669163,1675783,1965486,27894,2093176,1109471,962337,21368,931527,363921,557890,9716,1941520,891543,1044047,5930,365674,168936,190412,6326,662372,259646,398447,4279,334776,127650,196339,10787,450525,163696,281537,5292,3099553,1320352,1743192,36009,521287,244497,270341,6449,6485683,3347882,3081871,55930,2134370,890167,1237258,6945,297261,127739,166559,2963,4393699,1939629,2416549,37521,1171036,483423,678367,9246,1201694,616206,560126,25362,4536251,2194944,2300087,41220,404569,225123,177761,1685,986009,370554,606443,9012,312991,145560,165415,2016,1636251,679794,947233,9224,5427410,2352748,3036829,37833,647008,207343,428442,11223,243333,115775,124331,3227,1453738,536684,901753,15301,1865253,933516,903835,27902,192877,159407,27590,5880,653311,341016,310065,2230,2189335,1126794,1047499,15042,176551,67113,106867,2571
1992,1687337,690080,804283,192974,258506,78294,102000,78212,1487006,543050,572086,371870,950653,505823,337324,107506,11131721,5121325,3630574,2379822,1569180,629681,562850,376649,1616156,682318,578313,355525,289620,126054,102313,61253,5314392,2072698,2173310,1068384,2321133,1008966,995252,316915,372842,179310,136822,56710,482114,137013,202645,142456,5050157,2453350,1734096,862711,2305871,848420,989375,468076,1354607,586353,504891,263363,1157057,390434,449951,316672,1492900,665104,617178,210618,1790017,815971,733386,240660,679499,263420,206504,209575,1739955,802818,666369,270768,2773574,1318662,805049,649863,4274673,1871182,1554940,848551,2347948,1020997,747841,579110,981793,400258,487793,93742,2243866,951517,785718,506631,410583,154507,144207,111869,739283,217344,344346,177593,487515,183113,168526,135876,537215,209040,202484,125691,3343594,1436206,1356865,550523,569986,261617,212824,95545,6926925,3444450,2346649,1135826,2611850,1114042,1134661,363147,308133,99168,136244,72721,4939964,1984942,1894310,1060712,1390359,473066,592929,324364,1462643,621314,475757,365572,4959810,2239164,1791841,928805,453365,213299,131601,108465,1202527,479514,577507,145506,336254,124888,136718,74648,1982638,933521,841300,207817,6154018,2281815,2496071,1376132,743998,183429,322632,237937,289701,133592,88122,67987,1733727,666824,808640,258263,2287565,993037,731234,563294,227572,192619,20698,14255,683677,331001,241974,110702,2531114,1041066,930855,559193,199884,68160,79347,52377
1996,1534349,662165,769044,103140,241620,80380,122746,38494,1404405,653288,622073,129044,884262,475171,325416,83675,10019484,5119835,3828380,1071269,1510704,671152,691848,147704,1392609,735740,483109,173760,270810,140355,99062,31393,5303794,2546870,2244536,512388,2298899,1053849,1080843,164207,360120,205012,113943,41165,491711,165443,256595,69673,4311391,2341744,1587021,382626,2135842,887424,1006693,241725,1234075,620258,492644,121173,1074300,387659,583245,103396,1388708,636614,623283,128811,1783959,927837,712586,143536,605897,312788,186378,106731,1597547,820766,653063,123718,2556785,1571763,718107,266915,3848844,1989653,1481212,377979,2192640,1120438,766476,305726,893857,394022,439838,59997,2036062,934702,867895,233465,407083,167922,179652,59509,677415,236761,363467,77187,445465,196705,190076,58684,499175,246214,196532,56429,3075807,1652329,1103078,320400,556074,273495,232751,49828,6316129,3756177,1933492,626460,2515807,1107849,1225938,182020,266411,106905,125050,34456,4534434,2148222,1859883,526329,1206713,488105,582315,136293,1377760,649641,538152,189967,4501307,2215819,1801169,484319,390247,233050,104683,52514,1149457,504051,573458,71948,323826,139333,150543,33950,1894105,909146,863530,121429,5611644,2459683,2736167,415794,665629,221633,361911,82085,258449,137894,80352,40203,1671445,708568,827610,135267,2253837,1123323,840712,289802,185726,158220,17339,10167,636459,327812,233946,74701,2196169,1071971,845029,279169,211571,77934,105388,28249
2000,1672551,695602,944409,32540,285560,79004,167398,39158,1534113,685341,781652,67120,921781,422768,472940,26073,10965856,5861203,4567429,537224,1741365,738227,883745,119393,1459525,816015,561094,82416,327529,180068,137288,10173,5963110,2912253,2912790,138067,2596804,1116230,1419720,60854,367871,205242,137819,24810,501621,138637,336937,26047,4742123,2589026,2019421,133676,2199305,901980,1245836,51489,1315563,638517,634373,42673,1072216,399276,622332,50608,1544187,638898,872492,32797,1765656,792344,927871,45441,651817,319951,286616,45250,1833076,987017,786647,59412,2702984,1616487,878502,207995,4232711,2170418,1953139,109154,2438685,1168266,1109659,160760,994926,404964,573230,16732,2235140,1014581,1165125,55434,410986,137126,240178,33682,697019,231780,433862,31377,589518,272624,290491,26403,569081,266348,273559,29174,3187226,1788850,1284173,114203,598605,286783,286417,25405,6822451,4107907,2403374,311170,2911262,1257692,1631163,22407,288267,95284,174852,18131,4705457,2186190,2351209,168058,1234229,474276,744337,15616,1533968,720342,713577,100049,4912185,2485967,2281127,145091,409112,249508,130555,29049,1383777,566039,786426,31312,316269,118804,190700,6765,2076181,981720,1061949,32512,6407637,2433746,3799639,174252,770754,203053,515096,52605,294308,149022,119775,25511,1925518,801572,1063434,60512,2488745,1247652,1108864,132229,201894,171923,18073,11898,648124,295497,336475,16152,2598607,1242987,1237279,118341,218351,60481,147947,9923
2004,1883449,693933,1176394,13122,312633,111034,190913,10686,2013859,893524,1104294,16041,1054945,469953,572898,12094,12419857,6745485,5509826,164546,2130330,1001732,1101255,27343,1578769,857488,693826,27455,375190,200152,171660,3378,7609810,3583544,3964522,61744,3301875,1366149,1914254,21472,428555,231335,194116,3104,598447,181098,409235,8114,5274322,2891550,2345946,36826,2468002,969011,1479438,19553,1506908,741898,751957,13053,1187756,434993,736456,16307,1795860,712733,1069439,13688,1943106,820299,1102169,20638,740752,396842,330201,13709,2173115,1159471,988473,25171,2912388,1803800,1071109,37479,4839252,2479183,2313746,46323,2828387,1445014,1346695,36678,1152365,458094,684981,9290,2586726,1143038,1427920,15768,450445,173710,266063,10672,778186,254328,512814,11044,806481,387749,405519,13213,677738,340511,331237,5990,3611691,1911430,1670003,30258,756304,370942,376930,8432,7391741,4314280,2962567,114894,3501007,1525849,1961166,13992,312833,111052,196651,5130,5627908,2741167,2859768,26973,1463758,503966,959792,0,1836782,943163,866831,26788,5765764,2938095,2793847,33822,437134,259760,169046,8328,1617730,661699,937974,18057,388215,149244,232584,6387,2437319,1036477,1384375,16467,7410765,2832704,4526917,51144,927844,241199,663742,22903,312309,184067,121180,7062,2267276,974757,1273070,19449,2859084,1510201,1304894,43989,227586,202970,21256,3360,755887,326541,423778,5568,2997007,1489504,1478120,29383,243428,70776,167629,5023
