state,harris,trump,other,total
Alabama,772412,1462616,21324,2256352
Alaska,140026,184458,13693,338177
Arizona,1582860,1770242,36217,3389319
Arkansas,396905,759241,25531,1181677
California,9266468,6072371,503965,15842804
Colorado,1728159,1377441,85273,3190873
Connecticut,994287,739317,29515,1763119
Delaware,289758,214351,7588,511697
Florida,4683038,6110125,100384,10893547
Georgia,2548017,2663117,38913,5250047
Hawaii,313044,193661,9996,516701
Idaho,274972,605246,24594,904812
Illinois,3056367,2444631,80152,5581150
Indiana,1160146,1715058,49586,2924790
Iowa,707278,927019,20340,1654637
Kansas,532475,741949,23243,1297667
Kentucky,700921,1336230,31714,2068865
Lousiana,766870,1208505,31600,2006975
Maine,435584,376230,16114,827928
Maryland,1894275,1033899,77191,3005365
Massachusetts,2126545,1251308,75584,3453437
Michigan,2736533,2816636,109335,5662504
Minnesota,1656979,1519032,64905,3240916
Mississippi,429231,708302,12943,1150476
Missouri,1199861,1751027,41000,2991888
Montana,231906,352079,18978,602963
Nebraska,369995,564816,12348,947159
Nevada,705197,751205,28438,1484840
New Hampshire,418496,395578,8079,822153
New Jersey,2220662,1968212,62519,4251393
New Mexico,478802,423391,14164,916357
New York,4428276,3496008,0,7924284
North Carolina,2715380,2898428,46888,5660696
North Dakota,112327,246505,6227,365059
Ohio,2533699,3180116,51202,5765017
Oklahoma,499599,1036213,30361,1566173
Oregon,1228410,910702,68480,2207592
Pennsylvania,3421247,3542701,67822,7031770
Rhode Island,285156,214406,11097,510659
South Carolina,1028452,1483747,35941,2548140
South Dakota,146859,272081,9982,428922
Tennessee,1056265,1966865,40812,3063942
Texas,4835250,6393597,151258,11380105
Utah,562566,883818,41567,1487951
Vermont,235791,119395,11203,366389
Virginia,2335395,2075085,72096,4482576
Washington,2245849,1530923,122063,3898835
"Washington, D. C. ",294185,21076,2778,318039
West Virginia,214309,533556,14525,762390
Wisconsin,1667881,1697298,49294,3414473
Wyoming,69527,192633,4193,266353
