"","doc_id","word","candidate"
"1","2024-11-04","ahead","Donald Trump"
"2","2024-11-04","'s","Donald Trump"
"3","2024-11-04","'s","Donald Trump"
"4","2024-11-04","'s","Donald Trump"
"5","2024-11-04","'s","Donald Trump"
"6","2024-11-04","Donald","Donald Trump"
"7","2024-11-04","'s","Donald Trump"
"8","2024-11-04","that","Donald Trump"
"9","2024-11-04","a","Donald Trump"
"10","2024-11-04","state","Donald Trump"
"11","2024-11-04","'s","Donald Trump"
"12","2024-11-04","first","Donald Trump"
"13","2024-11-04","/","Donald Trump"
"14","2024-11-04","Harris","Donald Trump"
"15","2024-11-04","/","Donald Trump"
"16","2024-11-04","VP","Donald Trump"
"17","2024-11-04","Trump","Donald Trump"
"18","2024-11-04","20","Donald Trump"
"19","2024-11-04","Second","Donald Trump"
"20","2024-11-04","/","Donald Trump"
"21","2024-11-04","/","Donald Trump"
"22","2024-11-04","Harris","Donald Trump"
"23","2024-11-04","debate","Donald Trump"
"24","2024-11-04","second","Donald Trump"
"25","2024-11-04","Harris","Donald Trump"
"26","2024-11-04","-","Donald Trump"
"27","2024-11-04","and","Donald Trump"
"28","2024-11-04","nostalgia","Donald Trump"
"29","2024-11-04","like","Donald Trump"
"30","2024-11-04","Donald","Donald Trump"
"31","2024-11-03","'s","Donald Trump"
"32","2024-11-03","never","Donald Trump"
"33","2024-11-02","'s","Donald Trump"
"34","2024-11-02","JD","Donald Trump"
"35","2024-11-02","'s","Donald Trump"
"36","2024-11-02","'s","Donald Trump"
"37","2024-11-02","'s","Donald Trump"
"38","2024-11-02","against","Donald Trump"
"39","2024-11-02","than","Donald Trump"
"40","2024-11-02","hanger","Donald Trump"
"41","2024-11-02","opposition","Donald Trump"
"42","2024-11-01","Clinton","Donald Trump"
"43","2024-11-01","-","Donald Trump"
"44","2024-11-01","like","Donald Trump"
"45","2024-11-01","Donald","Donald Trump"
"46","2024-11-01","'s","Donald Trump"
"47","2024-11-01","with","Donald Trump"
"48","2024-11-01","second","Donald Trump"
"49","2024-11-01","to","Donald Trump"
"50","2024-11-01","dismiss","Donald Trump"
"51","2024-11-01","with","Donald Trump"
"52","2024-11-01","ballot","Donald Trump"
"53","2024-11-01","against","Donald Trump"
"54","2024-11-01","the","Donald Trump"
"55","2024-11-01","of","Donald Trump"
"56","2024-11-01","that","Donald Trump"
"57","2024-11-01","to","Donald Trump"
"58","2024-11-01","be","Donald Trump"
"59","2024-11-01","once","Donald Trump"
"60","2024-11-01","it","Donald Trump"
"61","2024-11-01","be","Donald Trump"
"62","2024-11-01","to","Donald Trump"
"63","2024-11-01","Vance","Donald Trump"
"64","2024-11-01","'s","Donald Trump"
"65","2024-11-01",",","Donald Trump"
"66","2024-11-01","either","Donald Trump"
"67","2024-11-01","Harris","Donald Trump"
"68","2024-11-01","stick","Donald Trump"
"69","2024-11-01","'s","Donald Trump"
"70","2024-11-01","on","Donald Trump"
"71","2024-11-01","for","Donald Trump"
"72","2024-11-01","with","Donald Trump"
"73","2024-11-01","ballot","Donald Trump"
"74","2024-11-01","against","Donald Trump"
"75","2024-11-01","the","Donald Trump"
"76","2024-11-01","of","Donald Trump"
"77","2024-11-01","that","Donald Trump"
"78","2024-11-01","to","Donald Trump"
"79","2024-11-01","be","Donald Trump"
"80","2024-11-01","once","Donald Trump"
"81","2024-11-01","it","Donald Trump"
"82","2024-11-01","be","Donald Trump"
"83","2024-11-01","to","Donald Trump"
"84","2024-11-01","Vance","Donald Trump"
"85","2024-11-01","'s","Donald Trump"
"86","2024-11-01",",","Donald Trump"
"87","2024-11-01","either","Donald Trump"
"88","2024-11-01","Harris","Donald Trump"
"89","2024-11-01","stick","Donald Trump"
"90","2024-11-01","'s","Donald Trump"
"91","2024-11-01","on","Donald Trump"
"92","2024-11-01","for","Donald Trump"
"93","2024-10-31","second","Donald Trump"
"94","2024-10-31","that","Donald Trump"
"95","2024-10-31","'s","Donald Trump"
"96","2024-10-31","who","Donald Trump"
"97","2024-10-31","promise","Donald Trump"
"98","2024-10-31","of","Donald Trump"
"99","2024-10-31","in","Donald Trump"
"100","2024-10-31","-","Donald Trump"
"101","2024-10-31","cussing","Donald Trump"
"102","2024-10-31","of","Donald Trump"
"103","2024-10-31","'s","Donald Trump"
"104","2024-10-31","with","Donald Trump"
"105","2024-10-31","'s","Donald Trump"
"106","2024-10-31",",","Donald Trump"
"107","2024-10-31","deep","Donald Trump"
"108","2024-10-31","in","Donald Trump"
"109","2024-10-31","country","Donald Trump"
"110","2024-10-30","""","Donald Trump"
"111","2024-10-30","for","Donald Trump"
"112","2024-10-30","that","Donald Trump"
"113","2024-10-30","war","Donald Trump"
"114","2024-10-30",",","Donald Trump"
"115","2024-10-30","toward","Donald Trump"
"116","2024-10-30","Trumpism","Donald Trump"
"117","2024-10-30","and","Donald Trump"
"118","2024-10-30","choice","Donald Trump"
"119","2024-10-30","be","Donald Trump"
"120","2024-10-30","between","Donald Trump"
"121","2024-10-30","Kamala","Donald Trump"
"122","2024-10-30","or","Donald Trump"
"123","2024-10-30","Donald","Donald Trump"
"124","2024-10-30","win","Donald Trump"
"125","2024-10-30","with","Donald Trump"
"126","2024-10-30","Ms.","Donald Trump"
"127","2024-10-30","Harris","Donald Trump"
"128","2024-10-29","'s","Donald Trump"
"129","2024-10-29","the","Donald Trump"
"130","2024-10-29","only","Donald Trump"
"131","2024-10-29","technology","Donald Trump"
"132","2024-10-29",",","Donald Trump"
"133","2024-10-29","not","Donald Trump"
"134","2024-10-29","but","Donald Trump"
"135","2024-10-29","against","Donald Trump"
"136","2024-10-29","and","Donald Trump"
"137","2024-10-29","Donald","Donald Trump"
"138","2024-10-29","allie","Donald Trump"
"139","2024-10-29","'s","Donald Trump"
"140","2024-10-29","to","Donald Trump"
"141","2024-10-29","'s","Donald Trump"
"142","2024-10-29","'s","Donald Trump"
"143","2024-10-29","for","Donald Trump"
"144","2024-10-29","columnist","Donald Trump"
"145","2024-10-29","'s","Donald Trump"
"146","2024-10-29","'s","Donald Trump"
"147","2024-10-29","for","Donald Trump"
"148","2024-10-29","'s","Donald Trump"
"149","2024-10-29","but","Donald Trump"
"150","2024-10-29","with","Donald Trump"
"151","2024-10-29",".","Donald Trump"
"152","2024-10-29","'s","Donald Trump"
"153","2024-10-29","that","Donald Trump"
"154","2024-10-29","theory","Donald Trump"
"155","2024-10-29","in","Donald Trump"
"156","2024-10-29","Donald","Donald Trump"
"157","2024-10-29","Donald","Donald Trump"
"158","2024-10-29","about","Donald Trump"
"159","2024-10-29","follow","Donald Trump"
"160","2024-10-29","Donald","Donald Trump"
"161","2024-10-29","of","Donald Trump"
"162","2024-10-29","to","Donald Trump"
"163","2024-10-29","be","Donald Trump"
"164","2024-10-29","'s","Donald Trump"
"165","2024-10-28","be","Donald Trump"
"166","2024-10-28","'s","Donald Trump"
"167","2024-10-28","'s","Donald Trump"
"168","2024-10-28","of","Donald Trump"
"169","2024-10-28","'s","Donald Trump"
"170","2024-10-28","again","Donald Trump"
"171","2024-10-28","describe","Donald Trump"
"172","2024-10-28",".","Donald Trump"
"173","2024-10-28","""","Donald Trump"
"174","2024-10-28",",","Donald Trump"
"175","2024-10-28","spend","Donald Trump"
"176","2024-10-28",".","Donald Trump"
"177","2024-10-28","'s","Donald Trump"
"178","2024-10-28","Jr.","Donald Trump"
"179","2024-10-28","'s","Donald Trump"
"180","2024-10-28","'s","Donald Trump"
"181","2024-10-28","summon","Donald Trump"
"182","2024-10-27","to","Donald Trump"
"183","2024-10-27","see","Donald Trump"
"184","2024-10-26","as","Donald Trump"
"185","2024-10-26","all","Donald Trump"
"186","2024-10-26","about","Donald Trump"
"187","2024-10-26","to","Donald Trump"
"188","2024-10-26","18","Donald Trump"
"189","2024-10-26","favore","Donald Trump"
"190","2024-10-26","of","Donald Trump"
"191","2024-10-26","over","Donald Trump"
"192","2024-10-26","-","Donald Trump"
"193","2024-10-26","55","Donald Trump"
"194","2024-10-26","favor","Donald Trump"
"195","2024-10-26","and","Donald Trump"
"196","2024-10-26","trust","Donald Trump"
"197","2024-10-26","'s","Donald Trump"
"198","2024-10-26",",","Donald Trump"
"199","2024-10-26","as","Donald Trump"
"200","2024-10-26","percent","Donald Trump"
"201","2024-10-26","for","Donald Trump"
"202","2024-10-26",",","Donald Trump"
"203","2024-10-26","and","Donald Trump"
"204","2024-10-26","man","Donald Trump"
"205","2024-10-26","favor","Donald Trump"
"206","2024-10-26","for","Donald Trump"
"207","2024-10-26","'s","Donald Trump"
"208","2024-10-26","from","Donald Trump"
"209","2024-10-26","mouthpiece","Donald Trump"
"210","2024-10-26","'s","Donald Trump"
"211","2024-10-26","that","Donald Trump"
"212","2024-10-26","'s","Donald Trump"
"213","2024-10-26","'s","Donald Trump"
"214","2024-10-25","of","Donald Trump"
"215","2024-10-25","the","Donald Trump"
"216","2024-10-25","about","Donald Trump"
"217","2024-10-25","Harris","Donald Trump"
"218","2024-10-25","Vance","Donald Trump"
"219","2024-10-25","Walz","Donald Trump"
"220","2024-10-25","for","Donald Trump"
"221","2024-10-25","against","Donald Trump"
"222","2024-10-25","be","Donald Trump"
"223","2024-10-25","Trump","Donald Trump"
"224","2024-10-25","and","Donald Trump"
"225","2024-10-25",",","Donald Trump"
"226","2024-10-25",",","Donald Trump"
"227","2024-10-25","term","Donald Trump"
"228","2024-10-25","of","Donald Trump"
"229","2024-10-25","shut","Donald Trump"
"230","2024-10-25","about","Donald Trump"
"231","2024-10-25","Harris","Donald Trump"
"232","2024-10-25","Vance","Donald Trump"
"233","2024-10-25","Walz","Donald Trump"
"234","2024-10-25","for","Donald Trump"
"235","2024-10-25","against","Donald Trump"
"236","2024-10-25","be","Donald Trump"
"237","2024-10-25","Trump","Donald Trump"
"238","2024-10-25","and","Donald Trump"
"239","2024-10-25",",","Donald Trump"
"240","2024-10-25",",","Donald Trump"
"241","2024-10-25","term","Donald Trump"
"242","2024-10-25","of","Donald Trump"
"243","2024-10-25","shut","Donald Trump"
"244","2024-10-25","about","Donald Trump"
"245","2024-10-25","thing","Donald Trump"
"246","2024-10-25","be","Donald Trump"
"247","2024-10-25","institution","Donald Trump"
"248","2024-10-25",".","Donald Trump"
"249","2024-10-25","but","Donald Trump"
"250","2024-10-25","feel","Donald Trump"
"251","2024-10-25",".","Donald Trump"
"252","2024-10-25","""","Donald Trump"
"253","2024-10-25",",","Donald Trump"
"254","2024-10-25","think","Donald Trump"
"255","2024-10-25","'s","Donald Trump"
"256","2024-10-25","who","Donald Trump"
"257","2024-10-25","talk","Donald Trump"
"258","2024-10-25","with","Donald Trump"
"259","2024-10-25","with","Donald Trump"
"260","2024-10-25","of","Donald Trump"
"261","2024-10-25","mean","Donald Trump"
"262","2024-10-25",",","Donald Trump"
"263","2024-10-25","Romney","Donald Trump"
"264","2024-10-25","'s","Donald Trump"
"265","2024-10-25","'s","Donald Trump"
"266","2024-10-25","what","Donald Trump"
"267","2024-10-25","of","Donald Trump"
"268","2024-10-25","get","Donald Trump"
"269","2024-10-25","with","Donald Trump"
"270","2024-10-25","'s","Donald Trump"
"271","2024-10-25","what","Donald Trump"
"272","2024-10-25","around","Donald Trump"
"273","2024-10-25","who","Donald Trump"
"274","2024-10-25","be","Donald Trump"
"275","2024-10-25","around","Donald Trump"
"276","2024-10-25","time","Donald Trump"
"277","2024-10-25","to","Donald Trump"
"278","2024-10-25","'s","Donald Trump"
"279","2024-10-25","'s","Donald Trump"
"280","2024-10-25","'s","Donald Trump"
"281","2024-10-25","about","Donald Trump"
"282","2024-10-25","the","Donald Trump"
"283","2024-10-25","relationship","Donald Trump"
"284","2024-10-25","by","Donald Trump"
"285","2024-10-25","be","Donald Trump"
"286","2024-10-25","a","Donald Trump"
"287","2024-10-25","guy","Donald Trump"
"288","2024-10-25","for","Donald Trump"
"289","2024-10-25","between","Donald Trump"
"290","2024-10-25","people","Donald Trump"
"291","2024-10-25","about","Donald Trump"
"292","2024-10-25","'s","Donald Trump"
"293","2024-10-25","'s","Donald Trump"
"294","2024-10-25","that","Donald Trump"
"295","2024-10-25","'s","Donald Trump"
"296","2024-10-25","that","Donald Trump"
"297","2024-10-24","despite","Donald Trump"
"298","2024-10-24","'s","Donald Trump"
"299","2024-10-24","at","Donald Trump"
"300","2024-10-24","'s","Donald Trump"
"301","2024-10-24","'s","Donald Trump"
"302","2024-10-24","a","Donald Trump"
"303","2024-10-24","second","Donald Trump"
"304","2024-10-24","administration","Donald Trump"
"305","2024-10-24","to","Donald Trump"
"306","2024-10-24","'s","Donald Trump"
"307","2024-10-24","that","Donald Trump"
"308","2024-10-24","of","Donald Trump"
"309","2024-10-24","""","Donald Trump"
"310","2024-10-24","'s","Donald Trump"
"311","2024-10-24","Donald","Donald Trump"
"312","2024-10-24","2.0","Donald Trump"
"313","2024-10-24","'s","Donald Trump"
"314","2024-10-24","at","Donald Trump"
"315","2024-10-24","the","Donald Trump"
"316","2024-10-24","administration","Donald Trump"
"317","2024-10-23","from","Donald Trump"
"318","2024-10-23",",","Donald Trump"
"319","2024-10-23","have","Donald Trump"
"320","2024-10-23","!","Donald Trump"
"321","2024-10-23","""","Donald Trump"
"322","2024-10-23","even","Donald Trump"
"323","2024-10-23","'s","Donald Trump"
"324","2024-10-22","every","Donald Trump"
"325","2024-10-22","time","Donald Trump"
"326","2024-10-22","'s","Donald Trump"
"327","2024-10-22","'s","Donald Trump"
"328","2024-10-22","be","Donald Trump"
"329","2024-10-21","'s","Donald Trump"
"330","2024-10-21","'s","Donald Trump"
"331","2024-10-21","Donald","Donald Trump"
"332","2024-10-21","'s","Donald Trump"
"333","2024-10-21","Harris","Donald Trump"
"334","2024-10-21","than","Donald Trump"
"335","2024-10-21","against","Donald Trump"
"336","2024-10-19","both","Donald Trump"
"337","2024-10-19","ally","Donald Trump"
"338","2024-10-19","for","Donald Trump"
"339","2024-10-19","the","Donald Trump"
"340","2024-10-19","impious","Donald Trump"
