"","candidate","date","state","year","party","incumbant_party","winner","dem_margin_estimate","pct_estimate","vote_share","dem_margin","average_afinn","daily_afinn","average_bing","daily_bing","polling_difference","margin_error","dummy_party"
"1","Donald+Trump",2024-11-05,"National",2024,"r",0,1,1.2295,46.8135,49.9627344749872,-1.55328069053111,NA,NA,NA,NA,3.1492344749872,2.78278069053111,0
"2","Kamala+Harris",2024-11-05,"National",2024,"d",1,0,1.2295,48.043,48.4094537844561,-1.55328069053111,NA,NA,NA,NA,0.366453784456105,2.78278069053111,1
"3","Donald+Trump",2024-11-04,"National",2024,"r",0,1,1.24635,46.81215,49.9627344749872,-1.55328069053111,0.75462962962963,0.428571428571429,0.0552763819095477,0,3.1505844749872,2.79963069053111,0
"4","Kamala+Harris",2024-11-04,"National",2024,"d",1,0,1.24635,48.0585,48.4094537844561,-1.55328069053111,2.33870967741935,1.75,0.58974358974359,0.714285714285714,0.350953784456102,2.79963069053111,1
"5","Donald+Trump",2024-11-03,"National",2024,"r",0,1,0.930349999999997,46.96645,49.9627344749872,-1.55328069053111,0.75462962962963,1.66666666666667,0.0552763819095477,-0.2,2.9962844749872,2.48363069053111,0
"6","Kamala+Harris",2024-11-03,"National",2024,"d",1,0,0.930349999999997,47.8968,48.4094537844561,-1.55328069053111,2.33870967741935,3,0.58974358974359,1,0.512653784456106,2.48363069053111,1
"7","Donald+Trump",2024-11-02,"National",2024,"r",0,1,0.974999999999994,46.8919,49.9627344749872,-1.55328069053111,0.75462962962963,-1.75,0.0552763819095477,-0.5,3.0708344749872,2.5282806905311,0
"8","Kamala+Harris",2024-11-02,"National",2024,"d",1,0,0.974999999999994,47.8669,48.4094537844561,-1.55328069053111,NA,NA,0.58974358974359,-1,0.542553784456103,2.5282806905311,1
"9","Donald+Trump",2024-11-01,"National",2024,"r",0,1,1.26004999999999,46.75995,49.9627344749872,-1.55328069053111,0.75462962962963,1.37254901960784,0.0552763819095477,0.333333333333333,3.2027844749872,2.8133306905311,0
"10","Kamala+Harris",2024-11-01,"National",2024,"d",1,0,1.26004999999999,48.02,48.4094537844561,-1.55328069053111,2.33870967741935,3.6,0.58974358974359,0.888888888888889,0.389453784456101,2.8133306905311,1
"11","Donald+Trump",2024-10-31,"National",2024,"r",0,1,1.15320000000001,46.76565,49.9627344749872,-1.55328069053111,0.75462962962963,1,0.0552763819095477,0.2,3.1970844749872,2.70648069053112,0
"12","Kamala+Harris",2024-10-31,"National",2024,"d",1,0,1.15320000000001,47.91885,48.4094537844561,-1.55328069053111,NA,NA,0.58974358974359,-1,0.490603784456106,2.70648069053112,1
"13","Donald+Trump",2024-10-30,"National",2024,"r",0,1,1.3968,46.65975,49.9627344749872,-1.55328069053111,0.75462962962963,0.714285714285714,0.0552763819095477,0.2,3.3029844749872,2.95008069053111,0
"14","Kamala+Harris",2024-10-30,"National",2024,"d",1,0,1.3968,48.05655,48.4094537844561,-1.55328069053111,2.33870967741935,1.75,0.58974358974359,0.111111111111111,0.352903784456103,2.95008069053111,1
"15","Donald+Trump",2024-10-29,"National",2024,"r",0,1,1.39825,46.7137,49.9627344749872,-1.55328069053111,0.75462962962963,0.380952380952381,0.0552763819095477,-0.5,3.2490344749872,2.95153069053111,0
"16","Kamala+Harris",2024-10-29,"National",2024,"d",1,0,1.39825,48.11195,48.4094537844561,-1.55328069053111,2.33870967741935,0.4,0.58974358974359,0.333333333333333,0.297503784456104,2.95153069053111,1
"17","Donald+Trump",2024-10-28,"National",2024,"r",0,1,1.41160000000001,46.6442,49.9627344749872,-1.55328069053111,0.75462962962963,0.444444444444444,0.0552763819095477,-0.2,3.3185344749872,2.96488069053112,0
"18","Kamala+Harris",2024-10-28,"National",2024,"d",1,0,1.41160000000001,48.0558,48.4094537844561,-1.55328069053111,2.33870967741935,-0.666666666666667,0.58974358974359,0.2,0.353653784456107,2.96488069053112,1
"19","Donald+Trump",2024-10-27,"National",2024,"r",0,1,1.41345,46.6682,49.9627344749872,-1.55328069053111,0.75462962962963,-0.666666666666667,0.0552763819095477,-0.333333333333333,3.2945344749872,2.96673069053111,0
"20","Kamala+Harris",2024-10-27,"National",2024,"d",1,0,1.41345,48.08165,48.4094537844561,-1.55328069053111,2.33870967741935,4,0.58974358974359,1,0.327803784456101,2.96673069053111,1
"21","Donald+Trump",2024-10-26,"National",2024,"r",0,1,1.32825,46.61625,49.9627344749872,-1.55328069053111,0.75462962962963,1.375,0.0552763819095477,0.2,3.3464844749872,2.88153069053111,0
