"","candidate","party","incumbant_party","winner","year","election_day","start_date_2024_adjustment"
"1","Richard+Nixon","r",FALSE,TRUE,1968,1968-11-05,1968-07-21
"2","Hubert+Humphrey","d",TRUE,FALSE,1968,1968-11-05,1968-07-21
"3","Richard+Nixon","r",TRUE,TRUE,1972,1972-11-07,1972-07-23
"4","George+McGovern","d",FALSE,FALSE,1972,1972-11-07,1972-07-23
"5","Jimmy+Carter","d",FALSE,TRUE,1976,1976-11-02,1976-07-18
"6","Gerald+Ford","r",TRUE,FALSE,1976,1976-11-02,1976-07-18
"7","Ronald+Reagan","r",FALSE,TRUE,1980,1980-11-04,1980-07-20
"8","Jimmy+Carter","d",TRUE,FALSE,1980,1980-11-04,1980-07-20
"9","Ronald+Reagan","r",TRUE,TRUE,1984,1984-11-06,1984-07-22
"10","Walter+Mondale","d",FALSE,FALSE,1984,1984-11-06,1984-07-22
"11","George+Bush","r",TRUE,TRUE,1988,1988-11-08,1988-07-24
"12","Michael+Dukakis","d",FALSE,FALSE,1988,1988-11-08,1988-07-24
"13","Bill+Clinton","d",FALSE,TRUE,1992,1992-11-03,1992-07-19
"14","George+Bush","r",TRUE,FALSE,1992,1992-11-03,1992-07-19
"15","Bill+Clinton","d",TRUE,TRUE,1996,1996-11-05,1996-07-21
"16","Bob+Dole","r",FALSE,FALSE,1996,1996-11-05,1996-07-21
"17","George+W.+Bush","r",FALSE,TRUE,2000,2000-11-07,2000-07-23
"18","Al+Gore","d",TRUE,FALSE,2000,2000-11-07,2000-07-23
"19","George+W.+Bush","r",TRUE,TRUE,2004,2004-11-02,2004-07-18
"20","John+Kerry","d",FALSE,FALSE,2004,2004-11-02,2004-07-18
"21","Barack+Obama","d",FALSE,TRUE,2008,2008-11-04,2008-07-20
"22","John+McCain","r",TRUE,FALSE,2008,2008-11-04,2008-07-20
"23","Barack+Obama","d",TRUE,TRUE,2012,2012-11-06,2012-07-22
"24","Mitt+Romney","r",FALSE,FALSE,2012,2012-11-06,2012-07-22
"25","Donald+Trump","r",FALSE,TRUE,2016,2016-11-08,2016-07-24
"26","Hillary+Clinton","d",TRUE,FALSE,2016,2016-11-08,2016-07-24
"27","Joseph+Biden","d",FALSE,TRUE,2020,2020-11-03,2020-07-19
"28","Donald+Trump","r",TRUE,FALSE,2020,2020-11-03,2020-07-19
"29","Donald+Trump","r",FALSE,TRUE,2024,2024-11-05,2024-07-21
"30","Kamala+Harris","d",TRUE,FALSE,2024,2024-11-05,2024-07-21
