"","year","state","party","vote_share","dem_margin"
"1",2024,"Alabama","d",0.342327792826651,-0.305893761257109
"2",2024,"Alabama","r",0.64822155408376,-0.305893761257109
"3",2024,"Alabama","o",0.00945065308958886,-0.305893761257109
"4",2024,"Alaska","d",0.414061275604195,-0.131386818145527
"5",2024,"Alaska","r",0.545448093749723,-0.131386818145527
"6",2024,"Alaska","o",0.0404906306460818,-0.131386818145527
"7",2024,"Arizona","d",0.467014170103198,-0.0552860323858569
"8",2024,"Arizona","r",0.522300202489055,-0.0552860323858569
"9",2024,"Arizona","o",0.0106856274077477,-0.0552860323858569
"10",2024,"Arkansas","d",0.3358828173858,-0.306628630327915
"11",2024,"Arkansas","r",0.642511447713715,-0.306628630327915
"12",2024,"Arkansas","o",0.0216057349004847,-0.306628630327915
"13",2024,"California","d",0.584900753679715,0.201611848508635
"14",2024,"California","r",0.38328890517108,0.201611848508635
"15",2024,"California","o",0.0318103411492057,0.201611848508635
"16",2024,"Colorado","d",0.54159441632431,0.109912867105648
"17",2024,"Colorado","r",0.431681549218662,0.109912867105648
"18",2024,"Colorado","o",0.0267240344570279,0.109912867105648
"19",2024,"Connecticut","d",0.563936410418128,0.144613040866782
"20",2024,"Connecticut","r",0.419323369551346,0.144613040866782
"21",2024,"Connecticut","o",0.0167402200305255,0.144613040866782
"22",2024,"Delaware","d",0.566268709802872,0.147366507913863
"23",2024,"Delaware","r",0.418902201889009,0.147366507913863
"24",2024,"Delaware","o",0.0148290883081198,0.147366507913863
"25",2024,"Florida","d",0.429891017131518,-0.131002969005412
"26",2024,"Florida","r",0.56089398613693,-0.131002969005412
"27",2024,"Florida","o",0.00921499673155126,-0.131002969005412
"28",2024,"Georgia","d",0.485332226549591,-0.0219236132552718
"29",2024,"Georgia","r",0.507255839804863,-0.0219236132552718
"30",2024,"Georgia","o",0.00741193364554641,-0.0219236132552718
"31",2024,"Hawaii","d",0.605851353103632,0.2310485174211
"32",2024,"Hawaii","r",0.374802835682532,0.2310485174211
"33",2024,"Hawaii","o",0.0193458112138355,0.2310485174211
"34",2024,"Idaho","d",0.303899594611919,-0.365019473658616
"35",2024,"Idaho","r",0.668919068270536,-0.365019473658616
"36",2024,"Idaho","o",0.0271813371175449,-0.365019473658616
"37",2024,"Illinois","d",0.547623160101413,0.109607518163819
"38",2024,"Illinois","r",0.438015641937594,0.109607518163819
"39",2024,"Illinois","o",0.0143611979609937,0.109607518163819
"40",2024,"Indiana","d",0.396659589235466,-0.189727125708171
"41",2024,"Indiana","r",0.586386714943637,-0.189727125708171
"42",2024,"Indiana","o",0.0169536958208965,-0.189727125708171
"43",2024,"Iowa","d",0.427452063503959,-0.132803146551177
"44",2024,"Iowa","r",0.560255210055136,-0.132803146551177
"45",2024,"Iowa","o",0.0122927264409052,-0.132803146551177
"46",2024,"Kansas","d",0.410332542940523,-0.161423539320951
"47",2024,"Kansas","r",0.571756082261474,-0.161423539320951
"48",2024,"Kansas","o",0.0179113747980029,-0.161423539320951
"49",2024,"Kentucky","d",0.338794943120987,-0.307080935682125
"50",2024,"Kentucky","r",0.645875878803112,-0.307080935682125
"51",2024,"Kentucky","o",0.0153291780759015,-0.307080935682125
"52",2024,"Lousiana","d",0.38210241781786,-0.220050075362174
"53",2024,"Lousiana","r",0.602152493180035,-0.220050075362174
"54",2024,"Lousiana","o",0.0157450890021052,-0.220050075362174
"55",2024,"Maine","d",0.526113381839967,0.0716898087756423
"56",2024,"Maine","r",0.454423573064324,0.0716898087756423
"57",2024,"Maine","o",0.0194630450957088,0.0716898087756423
"58",2024,"Maryland","d",0.630297817403211,0.286280035869187
"59",2024,"Maryland","r",0.344017781534023,0.286280035869187
"60",2024,"Maryland","o",0.0256844010627661,0.286280035869187
"61",2024,"Massachusetts","d",0.615776398990339,0.253439399647366
"62",2024,"Massachusetts","r",0.362336999342973,0.253439399647366
"63",2024,"Massachusetts","o",0.0218866016666874,0.253439399647366
"64",2024,"Michigan","d",0.483272594597726,-0.0141462151726516
"65",2024,"Michigan","r",0.497418809770377,-0.0141462151726516
"66",2024,"Michigan","o",0.0193085956318971,-0.0141462151726516
"67",2024,"Minnesota","d",0.511268727730061,0.0425642009851536
"68",2024,"Minnesota","r",0.468704526744908,0.0425642009851536
"69",2024,"Minnesota","o",0.0200267455250306,0.0425642009851536
"70",2024,"Mississippi","d",0.373089921041378,-0.242570031882456
"71",2024,"Mississippi","r",0.615659952923833,-0.242570031882456
"72",2024,"Mississippi","o",0.0112501260347891,-0.242570031882456
"73",2024,"Missouri","d",0.401038073617729,-0.184220131234859
"74",2024,"Missouri","r",0.585258204852588,-0.184220131234859
"75",2024,"Missouri","o",0.0137037215296829,-0.184220131234859
"76",2024,"Montana","d",0.384610664335954,-0.199304103236849
"77",2024,"Montana","r",0.583914767572803,-0.199304103236849
"78",2024,"Montana","o",0.0314745680912427,-0.199304103236849
"79",2024,"Nebraska","d",0.390636630175081,-0.205689857774671
"80",2024,"Nebraska","r",0.596326487949753,-0.205689857774671
"81",2024,"Nebraska","o",0.0130368818751656,-0.205689857774671
"82",2024,"Nevada","d",0.47493130572991,-0.0309851566498748
"83",2024,"Nevada","r",0.505916462379785,-0.0309851566498748
"84",2024,"Nevada","o",0.0191522318903047,-0.0309851566498748
"85",2024,"New Hampshire","d",0.509024475979532,0.0278755900665691
"86",2024,"New Hampshire","r",0.481148885912963,0.0278755900665691
"87",2024,"New Hampshire","o",0.00982663810750554,0.0278755900665691
"88",2024,"New Jersey","d",0.522337502084611,0.059380537155704
"89",2024,"New Jersey","r",0.462956964928907,0.059380537155704
"90",2024,"New Jersey","o",0.0147055329864823,0.059380537155704
"91",2024,"New Mexico","d",0.522505966561067,0.0604687910934276
"92",2024,"New Mexico","r",0.46203717546764,0.0604687910934276
"93",2024,"New Mexico","o",0.0154568579712928,0.0604687910934276
"94",2024,"New York","d",0.558823484872576,0.117646969745153
"95",2024,"New York","r",0.441176515127424,0.117646969745153
"96",2024,"New York","o",0,0.117646969745153
"97",2024,"North Carolina","d",0.47969012997695,-0.0323366596616388
"98",2024,"North Carolina","r",0.512026789638589,-0.0323366596616388
"99",2024,"North Carolina","o",0.00828308038446156,-0.0323366596616388
"100",2024,"North Dakota","d",0.307695468403737,-0.367551546462353
"101",2024,"North Dakota","r",0.67524701486609,-0.367551546462353
"102",2024,"North Dakota","o",0.0170575167301724,-0.367551546462353
"103",2024,"Ohio","d",0.439495494982929,-0.112127509771437
"104",2024,"Ohio","r",0.551623004754366,-0.112127509771437
"105",2024,"Ohio","o",0.00888150026270521,-0.112127509771437
"106",2024,"Oklahoma","d",0.31899349561,-0.34262753859248
"107",2024,"Oklahoma","r",0.66162103420248,-0.34262753859248
"108",2024,"Oklahoma","o",0.0193854701875208,-0.34262753859248
"109",2024,"Oregon","d",0.556447930595871,0.143916085943417
"110",2024,"Oregon","r",0.412531844652454,0.143916085943417
"111",2024,"Oregon","o",0.0310202247516751,0.143916085943417
"112",2024,"Pennsylvania","d",0.48654136867389,-0.0172721804040803
